Id,Zip Code,Status,Days,Created at
2018,396060,enable,5,2/24/2018
2019,396150,enable,5,2/24/2018
2020,396165,enable,5,2/24/2018
2021,396170,enable,5,2/24/2018
2022,396171,enable,5,2/24/2018
2023,396412,enable,5,2/24/2018
2024,396560,enable,5,2/24/2018
2025,396590,enable,5,2/24/2018
2026,390009,enable,5,2/24/2018
2027,390010,enable,5,2/24/2018
2028,390011,enable,5,2/24/2018
2029,390012,enable,5,2/24/2018
2030,390013,enable,5,2/24/2018
2031,390014,enable,5,2/24/2018
2032,390016,enable,5,2/24/2018
2033,390020,enable,5,2/24/2018
2034,390021,enable,5,2/24/2018
2035,390023,enable,5,2/24/2018
2036,380006,enable,5,2/24/2018
2037,380009,enable,5,2/24/2018
2038,380014,enable,5,2/24/2018
2039,382442,enable,5,2/24/2018
2040,360001,enable,5,2/24/2018
2041,360002,enable,5,2/24/2018
2042,360003,enable,5,2/24/2018
2043,360007,enable,5,2/24/2018
2044,396236,enable,5,2/24/2018
2045,396194,enable,5,2/24/2018
2046,382449,enable,5,2/24/2018
2047,384002,enable,5,2/24/2018
2048,384003,enable,5,2/24/2018
2049,384011,enable,5,2/24/2018
2050,384205,enable,5,2/24/2018
2051,384212,enable,5,2/24/2018
2052,384310,enable,5,2/24/2018
2053,384410,enable,5,2/24/2018
2054,384435,enable,5,2/24/2018
2055,346002,enable,5,2/24/2018
2056,346003,enable,5,2/24/2018
2057,346004,enable,5,2/24/2018
2058,346005,enable,5,2/24/2018
2059,346050,enable,5,2/24/2018
2060,346110,enable,5,2/24/2018
2061,346240,enable,5,2/24/2018
2062,364001,enable,5,2/24/2018
2063,388001,enable,5,2/24/2018
2064,388120,enable,5,2/24/2018
2065,388121,enable,5,2/24/2018
2066,388110,enable,5,2/24/2018
2067,388355,enable,5,2/24/2018
2068,388320,enable,5,2/24/2018
2069,388370,enable,5,2/24/2018
2070,388350,enable,5,2/24/2018
2071,388330,enable,5,2/24/2018
2072,388360,enable,5,2/24/2018
2073,388305,enable,5,2/24/2018
2074,387315,enable,5,2/24/2018
2075,388205,enable,5,2/24/2018
2076,388307,enable,5,2/24/2018
2077,388335,enable,5,2/24/2018
2078,388306,enable,5,2/24/2018
2079,388440,enable,5,2/24/2018
2080,388310,enable,5,2/24/2018
2081,387220,enable,5,2/24/2018
2082,387240,enable,5,2/24/2018
2083,361001,enable,5,2/24/2018
2084,361002,enable,5,2/24/2018
2085,361003,enable,5,2/24/2018
2086,361005,enable,5,2/24/2018
2087,361006,enable,5,2/24/2018
2088,361007,enable,5,2/24/2018
2089,361110,enable,5,2/24/2018
2090,361120,enable,5,2/24/2018
2091,390015,enable,5,2/24/2018
2092,390024,enable,5,2/24/2018
2093,382470,enable,5,2/24/2018
2094,380001,enable,5,2/24/2018
2095,380002,enable,5,2/24/2018
2096,380008,enable,5,2/24/2018
2097,380010,enable,5,2/24/2018
2098,382044,enable,5,2/24/2018
2099,380005,enable,5,2/24/2018
2100,380013,enable,5,2/24/2018
2101,380019,enable,5,2/24/2018
2102,380061,enable,5,2/24/2018
2103,382475,enable,5,2/24/2018
2104,382480,enable,5,2/24/2018
2105,382481,enable,5,2/24/2018
2106,380063,enable,5,2/24/2018
2107,382428,enable,5,2/24/2018
2108,390001,enable,5,2/24/2018
2109,390002,enable,5,2/24/2018
2110,380027,enable,5,2/24/2018
2111,382210,enable,5,2/24/2018
2112,387810,enable,5,2/24/2018
2113,382315,enable,5,2/24/2018
2114,382424,enable,5,2/24/2018
2115,382007,enable,5,2/24/2018
2116,382006,enable,5,2/24/2018
2117,382016,enable,5,2/24/2018
2118,382028,enable,5,2/24/2018
2119,382010,enable,5,2/24/2018
2120,382024,enable,5,2/24/2018
2121,382042,enable,5,2/24/2018
2122,382002,enable,5,2/24/2018
2123,382003,enable,5,2/24/2018
2124,382017,enable,5,2/24/2018
2125,382020,enable,5,2/24/2018
2126,382030,enable,5,2/24/2018
2127,382021,enable,5,2/24/2018
2128,382041,enable,5,2/24/2018
2129,396230,enable,5,2/24/2018
2130,396001,enable,5,2/24/2018
2131,396235,enable,5,2/24/2018
2132,364002,enable,5,2/24/2018
2133,361004,enable,5,2/24/2018
2134,391740,enable,5,2/24/2018
2135,394515,enable,5,2/24/2018
2136,394516,enable,5,2/24/2018
2137,395005,enable,5,2/24/2018
2138,395009,enable,5,2/24/2018
2139,382001,enable,5,2/24/2018
2140,370110,enable,5,2/24/2018
2141,370205,enable,5,2/24/2018
2142,394140,enable,5,2/24/2018
2143,394310,enable,5,2/24/2018
2144,392001,enable,5,2/24/2018
2145,392011,enable,5,2/24/2018
2146,392012,enable,5,2/24/2018
2147,392015,enable,5,2/24/2018
2148,392020,enable,5,2/24/2018
2149,392030,enable,5,2/24/2018
2150,392240,enable,5,2/24/2018
2151,393002,enable,5,2/24/2018
2152,393010,enable,5,2/24/2018
2153,370001,enable,5,2/24/2018
2154,370030,enable,5,2/24/2018
2155,370105,enable,5,2/24/2018
2156,396110,enable,5,2/24/2018
2157,396310,enable,5,2/24/2018
2158,396321,enable,5,2/24/2018
2159,396350,enable,5,2/24/2018
2160,396360,enable,5,2/24/2018
2161,396370,enable,5,2/24/2018
2162,396380,enable,5,2/24/2018
2163,396409,enable,5,2/24/2018
2164,396430,enable,5,2/24/2018
2165,396521,enable,5,2/24/2018
2166,396530,enable,5,2/24/2018
2167,364710,enable,5,2/24/2018
2168,389151,enable,5,2/24/2018
2169,389152,enable,5,2/24/2018
2170,389160,enable,5,2/24/2018
2171,389180,enable,5,2/24/2018
2172,370201,enable,5,2/24/2018
2173,370203,enable,5,2/24/2018
2174,370210,enable,5,2/24/2018
2175,389001,enable,5,2/24/2018
2176,389340,enable,5,2/24/2018
2177,360311,enable,5,2/24/2018
2178,383001,enable,5,2/24/2018
2179,383010,enable,5,2/24/2018
2180,383030,enable,5,2/24/2018
2181,383210,enable,5,2/24/2018
2182,360370,enable,5,2/24/2018
2183,360375,enable,5,2/24/2018
2184,396427,enable,5,2/24/2018
2185,384170,enable,5,2/24/2018
2186,394325,enable,5,2/24/2018
2187,384160,enable,5,2/24/2018
2188,384120,enable,5,2/24/2018
2189,382220,enable,5,2/24/2018
2190,382213,enable,5,2/24/2018
2191,362570,enable,5,2/24/2018
2192,362560,enable,5,2/24/2018
2193,394520,enable,5,2/24/2018
2194,382715,enable,5,2/24/2018
2195,382729,enable,5,2/24/2018
2196,391243,enable,5,2/24/2018
2197,391244,enable,5,2/24/2018
2198,390025,enable,5,2/24/2018
2199,360021,enable,5,2/24/2018
2200,360022,enable,5,2/24/2018
2201,396195,enable,5,2/24/2018
2202,361008,enable,5,2/24/2018
2203,388540,enable,5,2/24/2018
2204,360410,enable,5,2/24/2018
2205,362011,enable,5,2/24/2018
2206,360405,enable,5,2/24/2018
2207,360421,enable,5,2/24/2018
2208,382405,enable,5,2/24/2018
2209,382352,enable,5,2/24/2018
2210,382012,enable,5,2/24/2018
2211,382022,enable,5,2/24/2018
2212,380018,enable,5,2/24/2018
2213,380021,enable,5,2/24/2018
2214,380022,enable,5,2/24/2018
2215,380023,enable,5,2/24/2018
2216,380028,enable,5,2/24/2018
2217,380050,enable,5,2/24/2018
2218,382410,enable,5,2/24/2018
2219,382415,enable,5,2/24/2018
2220,382443,enable,5,2/24/2018
2221,382004,enable,5,2/24/2018
2222,382005,enable,5,2/24/2018
2223,382008,enable,5,2/24/2018
2224,382011,enable,5,2/24/2018
2225,382013,enable,5,2/24/2018
2226,382015,enable,5,2/24/2018
2227,382018,enable,5,2/24/2018
2228,382019,enable,5,2/24/2018
2229,382023,enable,5,2/24/2018
2230,382025,enable,5,2/24/2018
2231,382026,enable,5,2/24/2018
2232,382027,enable,5,2/24/2018
2233,382029,enable,5,2/24/2018
2234,380012,enable,5,2/24/2018
2235,380060,enable,5,2/24/2018
2236,382418,enable,5,2/24/2018
2237,380052,enable,5,2/24/2018
2238,380054,enable,5,2/24/2018
2239,380058,enable,5,2/24/2018
2240,380059,enable,5,2/24/2018
2241,380053,enable,5,2/24/2018
2242,380025,enable,5,2/24/2018
2243,382340,enable,5,2/24/2018
2244,382350,enable,5,2/24/2018
2245,380007,enable,5,2/24/2018
2246,380051,enable,5,2/24/2018
2247,380055,enable,5,2/24/2018
2248,380015,enable,5,2/24/2018
2249,388340,enable,5,2/24/2018
2250,391320,enable,5,2/24/2018
2251,391410,enable,5,2/24/2018
2252,363030,enable,5,2/24/2018
2253,396007,enable,5,2/24/2018
2254,396002,enable,5,2/24/2018
2255,392002,enable,5,2/24/2018
2256,382355,enable,5,2/24/2018
2257,362003,enable,5,2/24/2018
2258,394518,enable,5,2/24/2018
2259,391310,enable,5,2/24/2018
2260,391101,enable,5,2/24/2018
2261,391347,enable,5,2/24/2018
2262,390004,enable,5,2/24/2018
2263,390006,enable,5,2/24/2018
2264,390008,enable,5,2/24/2018
